Labels,sca-30-t3_final,
785.00,9.64698875E+5,
786.00,9.67996188E+5,
787.00,9.71307313E+5,
788.00,9.74665813E+5,
789.00,9.78094500E+5,
790.00,9.81600313E+5,
791.00,9.85169813E+5,
792.00,9.88789000E+5,
793.00,9.92451875E+5,
794.00,9.96167688E+5,
795.00,9.99934000E+5,
796.00,1.00372400E+6,
797.00,1.00749000E+6,
798.00,1.01118700E+6,
799.00,1.01477900E+6,
800.00,1.01824400E+6,
801.00,1.02157200E+6,
802.00,1.02476300E+6,
803.00,1.02783200E+6,
804.00,1.03082000E+6,
805.00,1.03376500E+6,
806.00,1.03669600E+6,
807.00,1.03962000E+6,
808.00,1.04254700E+6,
809.00,1.04549300E+6,
810.00,1.04847700E+6,
811.00,1.05150700E+6,
812.00,1.05458700E+6,
813.00,1.05772100E+6,
814.00,1.06092100E+6,
815.00,1.06419500E+6,
816.00,1.06753400E+6,
817.00,1.07090400E+6,
818.00,1.07427900E+6,
819.00,1.07766100E+6,
820.00,1.08107200E+6,
821.00,1.08453200E+6,
822.00,1.08804200E+6,
823.00,1.09157800E+6,
824.00,1.09509100E+6,
825.00,1.09855600E+6,
826.00,1.10196600E+6,
827.00,1.10533100E+6,
828.00,1.10866100E+6,
829.00,1.11198200E+6,
830.00,1.11531600E+6,
831.00,1.11868500E+6,
832.00,1.12210200E+6,
833.00,1.12555800E+6,
834.00,1.12905100E+6,
835.00,1.13256900E+6,
836.00,1.13608300E+6,
837.00,1.13958100E+6,
838.00,1.14305600E+6,
839.00,1.14648800E+6,
840.00,1.14987100E+6,
841.00,1.15320400E+6,
842.00,1.15647700E+6,
843.00,1.16015213E+6,
844.00,1.16382363E+6,
845.00,1.16749088E+6,
846.00,1.17115450E+6,
847.00,1.17481388E+6,
848.00,1.17846950E+6,
849.00,1.18212113E+6,
850.00,1.18576875E+6,
851.00,1.18941188E+6,
852.00,1.19305113E+6,
853.00,1.19668600E+6,
854.00,1.20031663E+6,
855.00,1.20394300E+6,
856.00,1.20756513E+6,
857.00,1.21118288E+6,
858.00,1.21479588E+6,
859.00,1.21840463E+6,
860.00,1.22200888E+6,
861.00,1.22560838E+6,
862.00,1.22920350E+6,
863.00,1.23279400E+6,
864.00,1.23637963E+6,
865.00,1.23996075E+6,
866.00,1.24353700E+6,
867.00,1.24710825E+6,
868.00,1.25067513E+6,
869.00,1.25423675E+6,
870.00,1.25779338E+6,
871.00,1.26134538E+6,
872.00,1.26489213E+6,
873.00,1.26843400E+6,
874.00,1.27197063E+6,
875.00,1.27550238E+6,
876.00,1.27902888E+6,
877.00,1.28255025E+6,
878.00,1.28606625E+6,
879.00,1.28957700E+6,
880.00,1.29308263E+6,
881.00,1.29658263E+6,
882.00,1.30007763E+6,
883.00,1.30356688E+6,
884.00,1.30705088E+6,
885.00,1.31052950E+6,
886.00,1.31400238E+6,
887.00,1.31746988E+6,
888.00,1.32093163E+6,
889.00,1.32438800E+6,
890.00,1.32783863E+6,
891.00,1.33128363E+6,
892.00,1.33472275E+6,
893.00,1.33815625E+6,
894.00,1.34158400E+6,
895.00,1.34500613E+6,
896.00,1.34842213E+6,
897.00,1.35183213E+6,
898.00,1.35523650E+6,
899.00,1.35863488E+6,
900.00,1.36202738E+6,
901.00,1.36541375E+6,
902.00,1.36879413E+6,
903.00,1.37216825E+6,
904.00,1.37553663E+6,
905.00,1.37889875E+6,
906.00,1.38225488E+6,
907.00,1.38560463E+6,
908.00,1.38894813E+6,
909.00,1.39228550E+6,
910.00,1.39561650E+6,
911.00,1.39894138E+6,
912.00,1.40226013E+6,
913.00,1.40557213E+6,
914.00,1.40887813E+6,
915.00,1.41217750E+6,
916.00,1.41547050E+6,
917.00,1.41875713E+6,
918.00,1.42203713E+6,
919.00,1.42531063E+6,
920.00,1.42857788E+6,
921.00,1.43183838E+6,
922.00,1.43509213E+6,
923.00,1.43833950E+6,
924.00,1.44158013E+6,
925.00,1.44481438E+6,
926.00,1.44804175E+6,
927.00,1.45126238E+6,
928.00,1.45447638E+6,
929.00,1.45768375E+6,
930.00,1.46088413E+6,
931.00,1.46407775E+6,
932.00,1.46726463E+6,
933.00,1.47044463E+6,
934.00,1.47361763E+6,
935.00,1.47678413E+6,
936.00,1.47994338E+6,
937.00,1.48309600E+6,
938.00,1.48624150E+6,
939.00,1.48938000E+6,
940.00,1.49251175E+6,
941.00,1.49563625E+6,
942.00,1.49875363E+6,
943.00,1.50186438E+6,
944.00,1.50496775E+6,
945.00,1.50806413E+6,
946.00,1.51115325E+6,
947.00,1.51423550E+6,
948.00,1.51731038E+6,
949.00,1.52037838E+6,
950.00,1.52343888E+6,
951.00,1.52649263E+6,
952.00,1.52953875E+6,
953.00,1.53257788E+6,
954.00,1.53560950E+6,
955.00,1.53863388E+6,
956.00,1.54165125E+6,
957.00,1.54466113E+6,
958.00,1.54766388E+6,
959.00,1.55065913E+6,
960.00,1.55364713E+6,
961.00,1.55662750E+6,
962.00,1.55960088E+6,
963.00,1.56256663E+6,
964.00,1.56552513E+6,
965.00,1.56847600E+6,
966.00,1.57141925E+6,
967.00,1.57435563E+6,
968.00,1.57728413E+6,
969.00,1.58020513E+6,
970.00,1.58311875E+6,
971.00,1.58602488E+6,
972.00,1.58892363E+6,
973.00,1.59181475E+6,
974.00,1.59469838E+6,
975.00,1.59757413E+6,
976.00,1.60044250E+6,
977.00,1.60330313E+6,
978.00,1.60615638E+6,
979.00,1.60900200E+6,
980.00,1.61184000E+6,
981.00,1.61467013E+6,
982.00,1.61749300E+6,
983.00,1.62030788E+6,
984.00,1.62311513E+6,
985.00,1.62591500E+6,
986.00,1.62870675E+6,
987.00,1.63149113E+6,
988.00,1.63426775E+6,
989.00,1.63703638E+6,
990.00,1.63979738E+6,
991.00,1.64255075E+6,
992.00,1.64529663E+6,
993.00,1.64803438E+6,
994.00,1.65076450E+6,
995.00,1.65348663E+6,
