Labels,T6 data_Apr2019_Fluoracle2,
990.00,7.37981141E-1,
991.00,7.39465952E-1,
992.00,7.40945458E-1,
993.00,7.42420614E-1,
994.00,7.43890882E-1,
995.00,7.45356381E-1,
996.00,7.46816993E-1,
997.00,7.48272777E-1,
998.00,7.49723732E-1,
999.00,7.51169801E-1,
1000.00,7.52611578E-1,
1001.000,7.54048526E-1,
1002.000,7.55480647E-1,
1003.000,7.56908953E-1,
1004.000,7.58332431E-1,
1005.000,7.59751618E-1,
1006.000,7.61165977E-1,
1007.000,7.62575984E-1,
1008.000,7.63981223E-1,
1009.000,7.65382051E-1,
1010.00,7.66778111E-1,
1011.000,7.68169343E-1,
1012.000,7.69554615E-1,
1013.000,7.70935059E-1,
1014.000,7.72310078E-1,
1015.000,7.73679197E-1,
1016.000,7.75042951E-1,
1017.000,7.76400805E-1,
1018.000,7.77753234E-1,
1019.000,7.79099762E-1,
1020.00,7.80439854E-1,
1021.000,7.81774521E-1,
1022.000,7.83103287E-1,
1023.000,7.84425616E-1,
1024.000,7.85741985E-1,
1025.000,7.87051916E-1,
1026.000,7.88355410E-1,
1027.000,7.89652944E-1,
1028.000,7.90944040E-1,
1029.000,7.92229235E-1,
1030.00,7.93508470E-1,
1031.000,7.94781804E-1,
1032.000,7.96049237E-1,
1033.000,7.97311842E-1,
1034.000,7.98568487E-1,
1035.000,7.99819767E-1,
1036.000,8.01065624E-1,
1037.000,8.02307189E-1,
1038.000,8.03543389E-1,
1039.000,8.04774761E-1,
1040.00,8.06001306E-1,
1041.000,8.07222962E-1,
1042.000,8.08439791E-1,
1043.000,8.09652328E-1,
1044.000,8.10859978E-1,
1045.000,8.12062800E-1,
1046.000,8.13261867E-1,
1047.000,8.14456105E-1,
1048.000,8.15646052E-1,
1049.000,8.16831648E-1,
1050.00,8.18012416E-1,
1051.000,8.19210708E-1,
1052.000,8.20404887E-1,
1053.000,8.21594834E-1,
1054.000,8.22780490E-1,
1055.000,8.23961973E-1,
1056.000,8.25139344E-1,
1057.000,8.26312423E-1,
1058.000,8.27481270E-1,
1059.000,8.28646004E-1,
1060.00,8.29806507E-1,
1061.000,8.30962777E-1,
1062.000,8.32114816E-1,
1063.000,8.33262622E-1,
1064.000,8.34406197E-1,
1065.000,8.35545659E-1,
1066.000,8.36680830E-1,
1067.000,8.37811768E-1,
1068.000,8.38938534E-1,
1069.000,8.40061009E-1,
1070.00,8.41179252E-1,
1071.000,8.42293322E-1,
1072.000,8.43403101E-1,
1073.000,8.44508708E-1,
1074.000,8.45610082E-1,
1075.000,8.46707165E-1,
1076.000,8.47800076E-1,
1077.000,8.48888636E-1,
1078.000,8.49973083E-1,
1079.000,8.51053298E-1,
1080.00,8.52129221E-1,
1081.000,8.53200912E-1,
1082.000,8.54268372E-1,
1083.000,8.55331600E-1,
1084.000,8.56390536E-1,
1085.000,8.57445419E-1,
1086.000,8.58495951E-1,
1087.000,8.59542131E-1,
1088.000,8.60584140E-1,
1089.000,8.61622095E-1,
1090.00,8.62655580E-1,
1091.000,8.63684952E-1,
1092.000,8.64710033E-1,
1093.000,8.65730882E-1,
1094.000,8.66747499E-1,
1095.000,8.67759824E-1,
1096.000,8.68768036E-1,
1097.000,8.69771957E-1,
1098.000,8.70771706E-1,
1099.000,8.71767223E-1,
1100.00,8.72758389E-1,
1101.000,8.73745441E-1,
1102.000,8.74728143E-1,
1103.000,8.75706673E-1,
1104.000,8.76680970E-1,
1105.000,8.77651215E-1,
1106.000,8.78617108E-1,
1107.000,8.79578769E-1,
1108.000,8.80536199E-1,
1109.000,8.81489277E-1,
1110.00,8.82438302E-1,
1111.000,8.83383155E-1,
1112.000,8.84323776E-1,
1113.000,8.85260046E-1,
1114.000,8.86192262E-1,
1115.000,8.87120247E-1,
1116.000,8.88044000E-1,
1117.000,8.88963461E-1,
1118.000,8.89878869E-1,
1119.000,8.90790045E-1,
1120.00,8.91697049E-1,
1121.000,8.92599761E-1,
1122.000,8.93498361E-1,
1123.000,8.94392729E-1,
1124.000,8.95282924E-1,
1125.000,8.96168828E-1,
1126.000,8.97050738E-1,
1127.000,8.97928417E-1,
1128.000,8.98801863E-1,
1129.000,8.99671197E-1,
1130.00,9.00536358E-1,
1131.000,9.01397288E-1,
1132.000,9.02254045E-1,
1133.000,9.03106749E-1,
1134.000,9.03955340E-1,
1135.000,9.04799581E-1,
1136.000,9.05639768E-1,
1137.000,9.06475842E-1,
1138.000,9.07307744E-1,
1139.000,9.08135474E-1,
1140.00,9.08959150E-1,
1141.000,9.09778655E-1,
1142.000,9.10593927E-1,
1143.000,9.11405146E-1,
1144.000,9.12212312E-1,
1145.000,9.13015246E-1,
1146.000,9.13814127E-1,
1147.000,9.14608896E-1,
1148.000,9.15399551E-1,
1149.000,9.16186154E-1,
1150.00,9.16968524E-1,
1151.000,9.17746902E-1,
1152.000,9.18521166E-1,
1153.000,9.19291317E-1,
1154.000,9.20057416E-1,
1155.000,9.20819402E-1,
1156.000,9.21577394E-1,
1157.000,9.22331154E-1,
1158.000,9.23080981E-1,
1159.000,9.23826754E-1,
1160.00,9.24568415E-1,
1161.000,9.25306022E-1,
1162.000,9.26039577E-1,
1163.000,9.26769137E-1,
1164.000,9.27494645E-1,
1165.000,9.28216040E-1,
1166.000,9.28933501E-1,
1167.000,9.29646790E-1,
1168.000,9.30356264E-1,
1169.000,9.31061566E-1,
1170.00,9.31762934E-1,
1171.000,9.32460189E-1,
1172.000,9.33153629E-1,
1173.000,9.33843017E-1,
1174.000,9.34528291E-1,
1175.000,9.35209632E-1,
1176.000,9.35887098E-1,
1177.000,9.36560392E-1,
1178.000,9.37229931E-1,
1179.000,9.37895298E-1,
1180.00,9.38556790E-1,
1181.000,9.39214408E-1,
1182.000,9.39867914E-1,
1183.000,9.40517604E-1,
1184.000,9.41163361E-1,
1185.000,9.41805065E-1,
1186.000,9.42442954E-1,
1187.000,9.43076849E-1,
1188.000,9.43706870E-1,
1189.000,9.44332898E-1,
1190.00,9.44955111E-1,
1191.000,9.45573390E-1,
1192.000,9.46187735E-1,
1193.000,9.46798265E-1,
1194.000,9.47404802E-1,
1195.000,9.48007584E-1,
1196.000,9.48606431E-1,
1197.000,9.49201405E-1,
1198.000,9.49792624E-1,
1199.000,9.50379848E-1,
1200.00,9.50963259E-1,
1201.000,9.51542854E-1,
1202.000,9.52118635E-1,
1203.000,9.52690482E-1,
1204.000,9.53258574E-1,
1205.000,9.53822792E-1,
1206.000,9.54383254E-1,
1207.000,9.54939902E-1,
1208.000,9.55492735E-1,
1209.000,9.56041753E-1,
1210.00,9.56587076E-1,
1211.000,9.57128465E-1,
1212.000,9.57666099E-1,
1213.000,9.58200157E-1,
1214.000,9.58730221E-1,
1215.000,9.59256649E-1,
1216.000,9.59779203E-1,
1217.000,9.60298181E-1,
1218.000,9.60813344E-1,
