Labels	T4_data_Sept2014_v2	
669.00	2.16347501E-1	
670.00	2.17832237E-1	
671.00	2.19323099E-1	
672.00	2.20820159E-1	
673.00	2.22323522E-1	
674.00	2.23833293E-1	
675.00	2.25349501E-1	
676.00	2.26872280E-1	
677.00	2.28401706E-1	
678.00	2.29937866E-1	
679.00	2.31480852E-1	
680.00	2.33030781E-1	
681.00	2.34587684E-1	
682.00	2.36151740E-1	
683.00	2.37722993E-1	
684.00	2.39301607E-1	
685.00	2.40887642E-1	
686.00	2.42481172E-1	
687.00	2.44082347E-1	
688.00	2.45691255E-1	
689.00	2.47307986E-1	
690.00	2.48932630E-1	
691.00	2.50565320E-1	
692.00	2.52206117E-1	
693.00	2.53855109E-1	
694.00	2.55512416E-1	
695.00	2.57178009E-1	
696.00	2.58852094E-1	
697.00	2.60534614E-1	
698.00	2.62225777E-1	
699.00	2.63925582E-1	
700.00	2.65634060E-1	
701.00	2.67351329E-1	
702.00	2.69077301E-1	
703.00	2.70812124E-1	
704.00	2.72555798E-1	
705.00	2.74308354E-1	
706.00	2.76069790E-1	
707.00	2.77840108E-1	
708.00	2.79619277E-1	
709.00	2.81407237E-1	
710.00	2.83204049E-1	
711.00	2.85009533E-1	
712.00	2.86823720E-1	
713.00	2.88646460E-1	
714.00	2.90477753E-1	
715.00	2.92317331E-1	
716.00	2.94165224E-1	
717.00	2.96021134E-1	
718.00	2.97885060E-1	
719.00	2.99756706E-1	
720.00	3.01636040E-1	
721.00	3.03522736E-1	
722.00	3.05416644E-1	
723.00	3.07317615E-1	
724.00	3.09225410E-1	
725.00	3.11139792E-1	
726.00	3.13060462E-1	
727.00	3.14987361E-1	
728.00	3.16919982E-1	
729.00	3.18858266E-1	
730.00	3.20801914E-1	
731.00	3.22750688E-1	
732.00	3.24704170E-1	
733.00	3.26662213E-1	
734.00	3.28624576E-1	
735.00	3.30590904E-1	
736.00	3.32560956E-1	
737.00	3.34534466E-1	
738.00	3.36511165E-1	
739.00	3.38490725E-1	
740.00	3.40472937E-1	
741.00	3.42457533E-1	
742.00	3.44444215E-1	
743.00	3.46432716E-1	
744.00	3.48422796E-1	
745.00	3.50414217E-1	
746.00	3.52406830E-1	
747.00	3.54400218E-1	
748.00	3.56394261E-1	
749.00	3.58388752E-1	
750.00	3.60383421E-1	
751.00	3.62378091E-1	
752.00	3.64372611E-1	
753.00	3.66366744E-1	
754.00	3.68360311E-1	
755.00	3.70353192E-1	
756.00	3.72345179E-1	
757.00	3.74336094E-1	
758.00	3.76325786E-1	
759.00	3.78314108E-1	
760.00	3.80300879E-1	
761.00	3.82285923E-1	
762.00	3.84269148E-1	
763.00	3.86250377E-1	
764.00	3.88229370E-1	
765.00	3.90206069E-1	
766.00	3.92180413E-1	
767.00	3.94152194E-1	
768.00	3.96121264E-1	
769.00	3.98087531E-1	
770.00	4.00050879E-1	
771.00	4.02011245E-1	
772.00	4.03968513E-1	
773.00	4.05922472E-1	
774.00	4.07873124E-1	
775.00	4.09820348E-1	
776.00	4.11764115E-1	
777.00	4.13704216E-1	
778.00	4.15640742E-1	
779.00	4.17573482E-1	
780.00	4.19502407E-1	
781.00	4.21427548E-1	
782.00	4.23348755E-1	
783.00	4.25265998E-1	
784.00	4.27179188E-1	
785.00	4.29088324E-1	
786.00	4.30993289E-1	
787.00	4.32894140E-1	
788.00	4.34790790E-1	
789.00	4.36683208E-1	
790.00	4.38571423E-1	
791.00	4.40455437E-1	
792.00	4.42335278E-1	
793.00	4.44211006E-1	
794.00	4.46082562E-1	
795.00	4.47950065E-1	
796.00	4.49813455E-1	
797.00	4.51672822E-1	
798.00	4.53528225E-1	
799.00	4.55379844E-1	
800.00	4.57227498E-1	
801.00	4.59071636E-1	
802.00	4.60912049E-1	
803.00	4.62749094E-1	
804.00	4.64582771E-1	
805.00	4.66413349E-1	
806.00	4.68240798E-1	
807.00	4.70065445E-1	
808.00	4.71887439E-1	
809.00	4.73706871E-1	
810.00	4.75523978E-1	
811.00	4.77338821E-1	
812.00	4.79151696E-1	
813.00	4.80962485E-1	
814.00	4.82771456E-1	
815.00	4.84578609E-1	
816.00	4.86384004E-1	
817.00	4.88187611E-1	
818.00	4.89989609E-1	
819.00	4.91789997E-1	
820.00	4.93588775E-1	
821.00	4.95386124E-1	
822.00	4.97181982E-1	
823.00	4.98976350E-1	
824.00	5.00769317E-1	
825.00	5.02560914E-1	
826.00	5.04351139E-1	
827.00	5.06139934E-1	
828.00	5.07927477E-1	
829.00	5.09713769E-1	
830.00	5.11498749E-1	
831.00	5.13282478E-1	
832.00	5.15065074E-1	
833.00	5.16846418E-1	
834.00	5.18626630E-1	
835.00	5.20405591E-1	
836.00	5.22183299E-1	
837.00	5.23959816E-1	
838.00	5.25735140E-1	
839.00	5.27509093E-1	
840.00	5.29281735E-1	
841.00	5.31052768E-1	
842.00	5.32822251E-1	
843.00	5.34590185E-1	
844.00	5.36356270E-1	
845.00	5.38120687E-1	
846.00	5.39883316E-1	
847.00	5.41643739E-1	
848.00	5.43402135E-1	
849.00	5.45158446E-1	
850.00	5.46912313E-1	
851.00	5.48663795E-1	
852.00	5.50412714E-1	
853.00	5.52158952E-1	
854.00	5.53902388E-1	
855.00	5.55643022E-1	
856.00	5.57380557E-1	
857.00	5.59114933E-1	
858.00	5.60845971E-1	
859.00	5.62573731E-1	
860.00	5.64298034E-1	
861.00	5.66018581E-1	
862.00	5.67735493E-1	
863.00	5.69448590E-1	
864.00	5.71157813E-1	
865.00	5.72863102E-1	
866.00	5.74564457E-1	
867.00	5.76261640E-1	
868.00	5.77954650E-1	
869.00	5.79643488E-1	
870.00	5.81328034E-1	
871.00	5.83008409E-1	
872.00	5.84684610E-1	
873.00	5.86356401E-1	
874.00	5.88024080E-1	
875.00	5.89687288E-1	
876.00	5.91346562E-1	
877.00	5.93001425E-1	
878.00	5.94652236E-1	
879.00	5.96298873E-1	
880.00	5.97941458E-1	
881.00	5.99580050E-1	
882.00	6.01214409E-1	
883.00	6.02844894E-1	
884.00	6.04471445E-1	
885.00	6.06094003E-1	
886.00	6.07712686E-1	
887.00	6.09327614E-1	
888.00	6.10938668E-1	
889.00	6.12546086E-1	
890.00	6.14149690E-1	
891.00	6.15749657E-1	
892.00	6.17345870E-1	
893.00	6.18938744E-1	
894.00	6.20527983E-1	
895.00	6.22113824E-1	
896.00	6.23696148E-1	
897.00	6.25275016E-1	
898.00	6.26850486E-1	
899.00	6.28422737E-1	
900.00	6.29991651E-1	
901.00	6.31557345E-1	
902.00	6.33119762E-1	
903.00	6.34679139E-1	
904.00	6.36235535E-1	
905.00	6.37788892E-1	
906.00	6.39339328E-1	
907.00	6.40886962E-1	
908.00	6.42431974E-1	
909.00	6.43974185E-1	
910.00	6.45513892E-1	
911.00	6.47051096E-1	
912.00	6.48585737E-1	
913.00	6.50117934E-1	
914.00	6.51647687E-1	
915.00	6.53175294E-1	
916.00	6.54700458E-1	
917.00	6.56223416E-1	
918.00	6.57744408E-1	
919.00	6.59263074E-1	
920.00	6.60779715E-1	
921.00	6.62294269E-1	
922.00	6.63806915E-1	
923.00	6.65317416E-1	
924.00	6.66825891E-1	
925.00	6.68332279E-1	
926.00	6.69836640E-1	
927.00	6.71338797E-1	
928.00	6.72838867E-1	
929.00	6.74336672E-1	
930.00	6.75832212E-1	
931.00	6.77325428E-1	
