Labels,T2 data_interpolated up to 2500,
750.00,4.53950614E-1,
751.00,4.55955803E-1,
752.00,4.57946062E-1,
753.00,4.59921122E-1,
754.00,4.61881787E-1,
755.00,4.63828683E-1,
756.00,4.65763539E-1,
757.00,4.67688382E-1,
758.00,4.69605833E-1,
759.00,4.71517324E-1,
760.00,4.73422825E-1,
761.00,4.75321263E-1,
762.00,4.77212250E-1,
763.00,4.79095370E-1,
764.00,4.80969429E-1,
765.00,4.82832730E-1,
766.00,4.84684825E-1,
767.00,4.86527175E-1,
768.00,4.88361835E-1,
769.00,4.90192592E-1,
770.00,4.92024094E-1,
771.00,4.93860155E-1,
772.00,4.95703250E-1,
773.00,4.97554362E-1,
774.00,4.99413162E-1,
775.00,5.01278341E-1,
776.00,5.03148019E-1,
777.00,5.05020380E-1,
778.00,5.06892443E-1,
779.00,5.08761823E-1,
780.00,5.10625660E-1,
781.00,5.12481272E-1,
782.00,5.14325619E-1,
783.00,5.16156077E-1,
784.00,5.17970502E-1,
785.00,5.19767404E-1,
786.00,5.21546245E-1,
787.00,5.23306489E-1,
788.00,5.25047898E-1,
789.00,5.26770890E-1,
790.00,5.28478086E-1,
791.00,5.30172765E-1,
792.00,5.31856835E-1,
793.00,5.33531129E-1,
794.00,5.35197437E-1,
795.00,5.36859453E-1,
796.00,5.38522899E-1,
797.00,5.40194213E-1,
798.00,5.41879296E-1,
799.00,5.43581486E-1,
800.00,5.45302093E-1,
801.00,5.47040462E-1,
802.00,5.48794925E-1,
803.00,5.50562143E-1,
804.00,5.52338243E-1,
805.00,5.54119289E-1,
806.00,5.55900812E-1,
807.00,5.57677209E-1,
808.00,5.59442103E-1,
809.00,5.61189830E-1,
810.00,5.62916279E-1,
811.00,5.64618766E-1,
812.00,5.66296458E-1,
813.00,5.67948043E-1,
814.00,5.69572210E-1,
815.00,5.71169674E-1,
816.00,5.72743773E-1,
817.00,5.74298739E-1,
818.00,5.75839937E-1,
819.00,5.77371836E-1,
820.00,5.78896761E-1,
821.00,5.80416203E-1,
822.00,5.81931174E-1,
823.00,5.83442628E-1,
824.00,5.84951460E-1,
825.00,5.86459935E-1,
826.00,5.87971985E-1,
827.00,5.89491665E-1,
828.00,5.91022253E-1,
829.00,5.92566609E-1,
830.00,5.94125867E-1,
831.00,5.95699787E-1,
832.00,5.97286463E-1,
833.00,5.98884046E-1,
