Labels,T data_N11P_Feb2020_up to 3000,
818.00,5.18373609E-1,
819.00,5.19940197E-1,
820.00,5.21506310E-1,
821.00,5.23072064E-1,
822.00,5.24637640E-1,
823.00,5.26203454E-1,
824.00,5.27769268E-1,
825.00,5.29335916E-1,
826.00,5.30902982E-1,
827.00,5.32471180E-1,
828.00,5.34040689E-1,
829.00,5.35611212E-1,
830.00,5.37183583E-1,
831.00,5.38757563E-1,
832.00,5.40333390E-1,
833.00,5.41911244E-1,
834.00,5.43491542E-1,
835.00,5.45074165E-1,
836.00,5.46659410E-1,
837.00,5.48247516E-1,
838.00,5.49838543E-1,
839.00,5.51432669E-1,
840.00,5.53029776E-1,
841.00,5.54630280E-1,
842.00,5.56234419E-1,
843.00,5.57841718E-1,
844.00,5.59452713E-1,
845.00,5.61067104E-1,
846.00,5.62684894E-1,
847.00,5.64306140E-1,
848.00,5.65930784E-1,
849.00,5.67558587E-1,
850.00,5.69189250E-1,
851.00,5.70822775E-1,
852.00,5.72458684E-1,
853.00,5.74097037E-1,
854.00,5.75737357E-1,
855.00,5.77379107E-1,
856.00,5.79022408E-1,
857.00,5.80666721E-1,
858.00,5.82311571E-1,
859.00,5.83957195E-1,
860.00,5.85603356E-1,
861.00,5.87249339E-1,
862.00,5.88894904E-1,
863.00,5.90540349E-1,
864.00,5.92184901E-1,
865.00,5.93828440E-1,
866.00,5.95470965E-1,
867.00,5.97111821E-1,
868.00,5.98751187E-1,
869.00,6.00388706E-1,
870.00,6.02024078E-1,
871.00,6.03657424E-1,
872.00,6.05288088E-1,
873.00,6.06916130E-1,
874.00,6.08541489E-1,
875.00,6.10164046E-1,
876.00,6.11783683E-1,
877.00,6.13399923E-1,
878.00,6.15012765E-1,
879.00,6.16622150E-1,
880.00,6.18228197E-1,
881.00,6.19830251E-1,
882.00,6.21428609E-1,
883.00,6.23023033E-1,
884.00,6.24613583E-1,
885.00,6.26200080E-1,
886.00,6.27782226E-1,
887.00,6.29360378E-1,
888.00,6.30934060E-1,
889.00,6.32503510E-1,
890.00,6.34068847E-1,
891.00,6.35629654E-1,
892.00,6.37186050E-1,
893.00,6.38737977E-1,
894.00,6.40285671E-1,
895.00,6.41828597E-1,
896.00,6.43367648E-1,
897.00,6.44901931E-1,
898.00,6.46432281E-1,
899.00,6.47958159E-1,
900.00,6.49480164E-1,
901.00,6.50997937E-1,
902.00,6.52511775E-1,
903.00,6.54021919E-1,
904.00,6.55528128E-1,
905.00,6.57030642E-1,
906.00,6.58529520E-1,
907.00,6.60024941E-1,
908.00,6.61517203E-1,
909.00,6.63006067E-1,
910.00,6.64491832E-1,
911.00,6.65974915E-1,
912.00,6.67454898E-1,
913.00,6.68932498E-1,
914.00,6.70407176E-1,
915.00,6.71879530E-1,
916.00,6.73349738E-1,
917.00,6.74817622E-1,
918.00,6.76283360E-1,
919.00,6.77747309E-1,
920.00,6.79209411E-1,
921.00,6.80669665E-1,
922.00,6.82128072E-1,
923.00,6.83585167E-1,
924.00,6.85040712E-1,
925.00,6.86494648E-1,
926.00,6.87947273E-1,
927.00,6.89398587E-1,
928.00,6.90848887E-1,
929.00,6.92297876E-1,
930.00,6.93745792E-1,
931.00,6.95192397E-1,
932.00,6.96638167E-1,
933.00,6.98082685E-1,
934.00,6.99526370E-1,
935.00,7.00969100E-1,
936.00,7.02410638E-1,
937.00,7.03851283E-1,
938.00,7.05290973E-1,
939.00,7.06729770E-1,
940.00,7.08167136E-1,
941.00,7.09603786E-1,
942.00,7.11039066E-1,
943.00,7.12473333E-1,
944.00,7.13906288E-1,
945.00,7.15338171E-1,
946.00,7.16768503E-1,
947.00,7.18197823E-1,
948.00,7.19625473E-1,
949.00,7.21051872E-1,
950.00,7.22476661E-1,
951.00,7.23899841E-1,
952.00,7.25321293E-1,
953.00,7.26741374E-1,
954.00,7.28159606E-1,
955.00,7.29576051E-1,
956.00,7.30990529E-1,
957.00,7.32402980E-1,
958.00,7.33813643E-1,
959.00,7.35222459E-1,
960.00,7.36628830E-1,
961.00,7.38033175E-1,
962.00,7.39435375E-1,
963.00,7.40835011E-1,
964.00,7.42232203E-1,
965.00,7.43626893E-1,
966.00,7.45019138E-1,
967.00,7.46408224E-1,
968.00,7.47794628E-1,
969.00,7.49178290E-1,
970.00,7.50558436E-1,
971.00,7.51935661E-1,
972.00,7.53309548E-1,
973.00,7.54680276E-1,
974.00,7.56047070E-1,
975.00,7.57410347E-1,
976.00,7.58770108E-1,
977.00,7.60125875E-1,
978.00,7.61477351E-1,
979.00,7.62824953E-1,
980.00,7.64168382E-1,
981.00,7.65507340E-1,
982.00,7.66841769E-1,
983.00,7.68171549E-1,
984.00,7.69496799E-1,
985.00,7.70817101E-1,
986.00,7.72132695E-1,
987.00,7.73442984E-1,
988.00,7.74748385E-1,
989.00,7.76048422E-1,
990.00,7.77342975E-1,
991.00,7.78632283E-1,
992.00,7.79916346E-1,
993.00,7.81194627E-1,
994.00,7.82467663E-1,
995.00,7.83734679E-1,
