Labels,SCA30-2-t_old data from 844_Oct2020,
796.00,5.77932179E-1,
797.00,5.79741895E-1,
798.00,5.81547022E-1,
799.00,5.83348095E-1,
800.00,5.85145712E-1,
801.00,5.86940587E-1,
802.00,5.88733375E-1,
803.00,5.90524673E-1,
804.00,5.92315018E-1,
805.00,5.94104886E-1,
806.00,5.95894754E-1,
807.00,5.97684801E-1,
808.00,5.99475265E-1,
809.00,6.01266146E-1,
810.00,6.03057384E-1,
811.00,6.04848742E-1,
812.00,6.06640041E-1,
813.00,6.08430803E-1,
814.00,6.10220671E-1,
815.00,6.12009048E-1,
816.00,6.13795459E-1,
817.00,6.15579247E-1,
818.00,6.17359996E-1,
819.00,6.19137108E-1,
820.00,6.20910108E-1,
821.00,6.22678757E-1,
822.00,6.24442697E-1,
823.00,6.26201928E-1,
824.00,6.27956510E-1,
825.00,6.29706800E-1,
826.00,6.31453335E-1,
827.00,6.33196771E-1,
828.00,6.34938180E-1,
829.00,6.36678696E-1,
830.00,6.38419747E-1,
831.00,6.40162826E-1,
832.00,6.41909778E-1,
833.00,6.43662274E-1,
834.00,6.45422220E-1,
835.00,6.47191584E-1,
836.00,6.48972273E-1,
837.00,6.50766075E-1,
838.00,6.52574778E-1,
839.00,6.54400110E-1,
840.00,6.56243443E-1,
841.00,6.58106148E-1,
842.00,6.59989476E-1,
843.00,6.61894262E-1,
844.00,6.63821340E-1,
845.00,6.65534973E-1,
846.00,6.67254448E-1,
847.00,6.68969214E-1,
848.00,6.70669854E-1,
849.00,6.72350943E-1,
850.00,6.74009442E-1,
851.00,6.75641954E-1,
852.00,6.77244425E-1,
853.00,6.78813517E-1,
854.00,6.80347860E-1,
855.00,6.81850672E-1,
856.00,6.83328748E-1,
857.00,6.84789658E-1,
858.00,6.86237693E-1,
859.00,6.87676132E-1,
860.00,6.89106524E-1,
861.00,6.90528929E-1,
862.00,6.91944838E-1,
863.00,6.93355680E-1,
864.00,6.94762349E-1,
865.00,6.96165264E-1,
866.00,6.97564662E-1,
867.00,6.98961675E-1,
868.00,7.00359166E-1,
869.00,7.01761365E-1,
870.00,7.03173697E-1,
871.00,7.04600275E-1,
872.00,7.06040621E-1,
873.00,7.07491159E-1,
874.00,7.08949447E-1,
875.00,7.10414827E-1,
876.00,7.11883068E-1,
877.00,7.13347793E-1,
878.00,7.14804292E-1,
879.00,7.16250181E-1,
880.00,7.17685580E-1,
881.00,7.19109952E-1,
