Labels,T1_data_new_corrected,
1048.000,9.21361875E+5,
1049.000,9.22140750E+5,
1050.00,9.22915438E+5,
1051.000,9.23685938E+5,
1052.000,9.24452375E+5,
1053.000,9.25214688E+5,
1054.000,9.25972875E+5,
1055.000,9.26726875E+5,
1056.000,9.27476813E+5,
1057.000,9.28222688E+5,
1058.000,9.28964313E+5,
1059.000,9.29702000E+5,
1060.00,9.30435438E+5,
1061.000,9.31164813E+5,
1062.000,9.31890188E+5,
1063.000,9.32611375E+5,
1064.000,9.33328500E+5,
1065.000,9.34041625E+5,
1066.000,9.34750563E+5,
1067.000,9.35455500E+5,
1068.000,9.36156375E+5,
1069.000,9.36853188E+5,
1070.00,9.37545875E+5,
1071.000,9.38234625E+5,
1072.000,9.38919188E+5,
1073.000,9.39599813E+5,
1074.000,9.40276313E+5,
1075.000,9.40948875E+5,
1076.000,9.41617313E+5,
1077.000,9.42281688E+5,
1078.000,9.42942250E+5,
1079.000,9.43598563E+5,
1080.00,9.44250938E+5,
1081.000,9.44899375E+5,
1082.000,9.45543688E+5,
1083.000,9.46184063E+5,
1084.000,9.46820438E+5,
1085.000,9.47452750E+5,
1086.000,9.48081188E+5,
1087.000,9.48705563E+5,
1088.000,9.49325938E+5,
1089.000,9.49942375E+5,
1090.00,9.50554813E+5,
1091.000,9.51163313E+5,
1092.000,9.51767813E+5,
1093.000,9.52368438E+5,
1094.000,9.52965000E+5,
1095.000,9.53557625E+5,
1096.000,9.54146313E+5,
1097.000,9.54731125E+5,
1098.000,9.55311875E+5,
1099.000,9.55888750E+5,
1100.00,9.56461688E+5,
1101.000,9.57030688E+5,
1102.000,9.57595750E+5,
1103.000,9.58156938E+5,
1104.000,9.58714250E+5,
1105.000,9.59267563E+5,
1106.000,9.59817125E+5,
1107.000,9.60362688E+5,
1108.000,9.60904438E+5,
1109.000,9.61442375E+5,
1110.00,9.61976438E+5,
1111.000,9.62506563E+5,
1112.000,9.63032875E+5,
1113.000,9.63555438E+5,
1114.000,9.64074125E+5,
1115.000,9.64589125E+5,
1116.000,9.65100125E+5,
1117.000,9.65607438E+5,
1118.000,9.66111000E+5,
1119.000,9.66610688E+5,
1120.00,9.67106688E+5,
1121.000,9.67598875E+5,
1122.000,9.68087313E+5,
1123.000,9.68571938E+5,
1124.000,9.69052938E+5,
1125.000,9.69530188E+5,
1126.000,9.70003688E+5,
1127.000,9.70473563E+5,
1128.000,9.70939688E+5,
1129.000,9.71402063E+5,
1130.00,9.71860813E+5,
1131.000,9.72315813E+5,
1132.000,9.72767250E+5,
1133.000,9.73214938E+5,
1134.000,9.73659000E+5,
1135.000,9.74099500E+5,
1136.000,9.74536313E+5,
1137.000,9.74969375E+5,
1138.000,9.75399000E+5,
1139.000,9.75824875E+5,
1140.00,9.76247188E+5,
1141.000,9.76666000E+5,
1142.000,9.77081125E+5,
1143.000,9.77492750E+5,
1144.000,9.77900688E+5,
1145.000,9.78305188E+5,
1146.000,9.78706125E+5,
1147.000,9.79103438E+5,
1148.000,9.79497188E+5,
1149.000,9.79887563E+5,
1150.00,9.80274250E+5,
1151.000,9.80657563E+5,
1152.000,9.81037375E+5,
1153.000,9.81413625E+5,
1154.000,9.81786438E+5,
1155.000,9.82155750E+5,
1156.000,9.82521563E+5,
1157.000,9.82883938E+5,
1158.000,9.83242875E+5,
1159.000,9.83598375E+5,
1160.00,9.83950438E+5,
1161.000,9.84299125E+5,
1162.000,9.84644250E+5,
1163.000,9.84986063E+5,
1164.000,9.85324500E+5,
1165.000,9.85659438E+5,
1166.000,9.85991125E+5,
1167.000,9.86319313E+5,
1168.000,9.86644250E+5,
1169.000,9.86965813E+5,
1170.00,9.87283938E+5,
1171.000,9.87598750E+5,
1172.000,9.87910250E+5,
1173.000,9.88218438E+5,
1174.000,9.88523313E+5,
1175.000,9.88824875E+5,
1176.000,9.89123000E+5,
1177.000,9.89418000E+5,
1178.000,9.89709688E+5,
1179.000,9.89998063E+5,
1180.00,9.90283188E+5,
1181.000,9.90565063E+5,
1182.000,9.90843688E+5,
1183.000,9.91119063E+5,
1184.000,9.91391188E+5,
1185.000,9.91660125E+5,
1186.000,9.91925813E+5,
1187.000,9.92188250E+5,
1188.000,9.92447500E+5,
1189.000,9.92703688E+5,
1190.00,9.92956563E+5,
1191.000,9.93206313E+5,
1192.000,9.93452875E+5,
1193.000,9.93696250E+5,
1194.000,9.93936625E+5,
1195.000,9.94173750E+5,
1196.000,9.94407688E+5,
1197.000,9.94638563E+5,
1198.000,9.94866375E+5,
1199.000,9.95091000E+5,
1200.00,9.95312438E+5,
1201.000,9.95530938E+5,
1202.000,9.95746313E+5,
1203.000,9.95958625E+5,
1204.000,9.96167813E+5,
1205.000,9.96374000E+5,
1206.000,9.96577125E+5,
1207.000,9.96777188E+5,
1208.000,9.96974188E+5,
1209.000,9.97168250E+5,
1210.00,9.97359188E+5,
